I_out, gain, alpha, beta
6.944429733473788009e-11,9.999944444537036681e-01,1.567462994696125156e+00,1.000000000000000021e-02
2.086124726381668321e-08,9.999037114394133674e-01,1.556918999539684378e+00,4.163224902615952905e-02
2.000598861035679521e-07,9.997018218617302887e-01,1.546375312982397610e+00,7.326449805231904921e-02
8.405806571007423678e-07,9.993888161227826306e-01,1.535832169576734740e+00,1.048967470784785833e-01
2.411888262797423632e-06,9.989647568624878682e-01,1.525289804004598349e+00,1.365289961046381173e-01
5.549683521426616861e-06,9.984297289476109505e-01,1.514748451133281604e+00,1.681612451307976375e-01
1.105547900001960238e-05,9.977838394569463754e-01,1.504208346071535196e+00,1.997934941569571854e-01
1.989606372680870205e-05,9.970272176626231442e-01,1.493669724225715090e+00,2.314257431831167056e-01
3.320285717882398568e-05,9.961600150075443638e-01,1.483132821356096365e+00,2.630579922092762257e-01
5.227115278170352264e-05,9.951824050789677134e-01,1.472597873633340049e+00,2.946902412354357459e-01
7.855925119870654783e-05,9.940945835782347695e-01,1.462065117695150018e+00,3.263224902615952661e-01
1.136874837256718340e-04,9.928967682866622901e-01,1.451534790703155497e+00,3.579547392877547862e-01
1.594371261498250814e-04,9.915891990276058943e-01,1.441007130400034031e+00,3.895869883139143619e-01
2.177492034683425892e-04,9.901721376247105688e-01,1.430482375166904907e+00,4.212192373400738821e-01
2.907231859040210198e-04,9.886458678563628810e-01,1.419960764081029447e+00,4.528514863662334022e-01
3.806155766931315632e-04,9.870106954063606608e-01,1.409442536973829263e+00,4.844837353923929224e-01
4.898383921604215763e-04,9.852669478108175838e-01,1.398927934489262448e+00,5.161159844185524426e-01
6.209575346338702673e-04,9.834149744013235273e-01,1.388417198142579911e+00,5.477482334447120182e-01
7.766910587913150588e-04,9.814551462443790175e-01,1.377910570379493160e+00,5.793804824708714829e-01
9.599073320686879462e-04,9.793878560771265285e-01,1.367408294635773958e+00,6.110127314970310586e-01
1.173623089795239327e-03,9.772135182394023900e-01,1.356910615397327158e+00,6.426449805231905232e-01
1.421001385761719304e-03,9.749325686021337312e-01,1.346417778260754039e+00,6.742772295493500989e-01
1.705349438960862551e-03,9.725454644921052161e-01,1.335930029994436330e+00,7.059094785755095636e-01
2.030116377277735307e-03,9.700526846131251046e-01,1.325447618600179123e+00,7.375417276016691392e-01
2.398890878941878357e-03,9.674547289636187264e-01,1.314970793375431102e+00,7.691739766278287149e-01
2.815398712589900487e-03,9.647521187506787888e-01,1.304499804976120503e+00,8.008062256539881796e-01
3.283500176819803551e-03,9.619453963006056041e-01,1.294034905480131004e+00,8.324384746801477553e-01
3.807187440153736446e-03,9.590351249659699873e-01,1.283576348451452631e+00,8.640707237063072199e-01
4.390581782359764818e-03,9.560218890292333516e-01,1.273124389005037882e+00,8.957029727324667956e-01
5.037930738113871598e-03,9.529062936029599751e-01,1.262679283872391256e+00,9.273352217586262602e-01
5.753605144017598372e-03,9.496889645266616276e-01,1.252241291467930395e+00,9.589674707847858359e-01
6.542096090018267862e-03,9.463705482603106400e-01,1.241810671956145029e+00,9.905997198109453006e-01
7.408011776307316110e-03,9.429517117745634947e-01,1.231387687319590807e+00,1.022231968837104876e+00
8.356074276804348333e-03,9.394331424377366790e-01,1.220972601427750881e+00,1.053864217863264452e+00
9.391116210363814609e-03,9.358155478995765497e-01,1.210565680106794995e+00,1.085496466889424028e+00
1.051807732086790237e-02,9.320996559718709440e-01,1.200167191210278705e+00,1.117128715915583381e+00
1.174200096739935750e-02,9.282862145059455061e-01,1.189777404690808504e+00,1.148760964941742957e+00
1.306803052571076096e-02,9.243759912670959089e-01,1.179396592672716571e+00,1.180393213967902533e+00
1.450140570223962255e-02,9.203697738060012679e-01,1.169025029525773585e+00,1.212025462994062108e+00
1.604745876193519605e-02,9.162683693271739260e-01,1.158662991939984677e+00,1.243657712020221462e+00
1.771161067119375598e-02,9.120726045544941263e-01,1.148310759001496928e+00,1.275289961046381038e+00
1.949936715721906078e-02,9.077833255938855261e-01,1.137968612269664614e+00,1.306922210072540613e+00
2.141631468514715309e-02,9.034013977931871775e-01,1.127636835855305719e+00,1.338554459098700189e+00
2.346811635429679743e-02,8.989277055992759280e-01,1.117315716500188794e+00,1.370186708124859765e+00
2.566050771492650595e-02,8.943631524125018606e-01,1.107005543657793911e+00,1.401818957151019118e+00
2.799929250689531246e-02,8.897086604384941699e-01,1.096706609575385238e+00,1.433451206177178694e+00
3.049033832165098934e-02,8.849651705373980937e-01,1.086419209377436301e+00,1.465083455203338270e+00
3.313957218897173318e-02,8.801336420706098451e-01,1.076143641150452579e+00,1.496715704229497845e+00
3.595297608991943061e-02,8.752150527450701656e-01,1.065880206029232280e+00,1.528347953255657421e+00
3.893658239746367045e-02,8.702103984551852189e-01,1.055629208284607712e+00,1.559980202281816775e+00
4.209646924625665143e-02,8.651206931224421082e-01,1.045390955412714762e+00,1.591612451307976350e+00
4.543875583304735066e-02,8.599469685327884028e-01,1.035165758225833121e+00,1.623244700334135926e+00
4.896959764923491942e-02,8.546902741718478413e-01,1.024953930944843217e+00,1.654876949360295502e+00
5.269518164707331920e-02,8.493516770580431530e-01,1.014755791293348253e+00,1.686509198386454855e+00
5.662172134104193066e-02,8.439322615737018252e-01,1.004571660593504445e+00,1.718141447412614431e+00
6.075545184590358527e-02,8.384331292942220903e-01,9.944018638636152874e-01,1.749773696438774007e+00
6.510262485298912161e-02,8.328553988153736265e-01,9.842467299175295947e-01,1.781405945464933582e+00
6.966950354622791775e-02,8.272002055788159058e-01,9.741065914659006175e-01,1.813038194491093158e+00
7.446235745947038520e-02,8.214687016959134613e-01,9.639817852193535153e-01,1.844670443517252512e+00
7.948745727663097949e-02,8.156620557699313379e-01,9.538726519936121528e-01,1.876302692543412087e+00
8.475106957619116255e-02,8.097814527166962151e-01,9.437795368166406185e-01,1.907934941569571663e+00
9.025945152159109419e-02,8.038280935838081342e-01,9.337027890378485351e-01,1.939567190595731239e+00
9.601884549904249333e-02,7.978031953684913136e-01,9.236427624394164537e-01,1.971199439621890592e+00
1.020354737042784565e-01,7.917079908341764227e-01,9.135998153497973950e-01,2.002831688648050168e+00
1.083155326797636819e-01,7.855437283259006920e-01,9.035743107594464973e-01,2.034463937674209522e+00
1.148651878038638996e-01,7.793116715846249987e-01,8.935666164388379462e-01,2.066096186700368875e+00
1.216905677334756408e-01,7.730130995605578592e-01,8.835771050588241415e-01,2.097728435726528673e+00
1.287977588015902786e-01,7.666493062255890223e-01,8.736061543133990526e-01,2.129360684752688027e+00
1.361927993712733764e-01,7.602216003849237014e-01,8.636541470449170532e-01,2.160992933778847824e+00
1.438816741474956418e-01,7.537313054880263596e-01,8.537214713718346282e-01,2.192625182805007178e+00
1.518703084482613264e-01,7.471797594389697483e-01,8.438085208190289066e-01,2.224257431831166532e+00
1.601645624364419485e-01,7.405683144062953360e-01,8.339156944507554181e-01,2.255889680857326329e+00
1.687702253137044472e-01,7.338983366324940416e-01,8.240433970063090197e-01,2.287521929883485683e+00
1.776930094779063385e-01,7.271712062432085233e-01,8.141920390384433937e-01,2.319154178909645481e+00
1.869385446452958011e-01,7.203883170562723759e-01,8.043620370546181730e-01,2.350786427935804834e+00
1.965123719388301993e-01,7.135510763906933729e-01,7.945538136611303148e-01,2.382418676961964188e+00
2.064199379438975690e-01,7.066609048756952172e-01,7.847677977101962243e-01,2.414050925988123986e+00
2.166665887326886253e-01,6.997192362599332638e-01,7.750044244500481350e-01,2.445683175014283339e+00
2.272575638584404256e-01,6.927275172209982346e-01,7.652641356781044735e-01,2.477315424040442693e+00
2.381979903207320781e-01,6.856872071753261633e-01,7.555473798972802690e-01,2.508947673066602491e+00
2.494928765029675866e-01,6.785997780886372510e-01,7.458546124755021101e-01,2.540579922092761844e+00
2.611471060831569435e-01,6.714667142870202055e-01,7.361862958084871567e-01,2.572212171118921642e+00
2.731654319190497393e-01,6.642895122687884069e-01,7.265428994858535994e-01,2.603844420145080996e+00
2.855524699086360307e-01,6.570696805172291377e-01,7.169249004606195186e-01,2.635476669171240349e+00
2.983126928269765887e-01,6.498087393143755497e-01,7.073327832221603106e-01,2.667108918197400147e+00
3.114504241402926699e-01,6.425082205559240478e-01,6.977670399726767503e-01,2.698741167223559501e+00
3.249698317981748463e-01,6.351696675674274317e-01,6.882281708072399695e-01,2.730373416249719298e+00
3.388749220047175825e-01,6.277946349218955779e-01,6.787166838974730831e-01,2.762005665275878652e+00
3.531695329693576024e-01,6.203846882589294509e-01,6.692330956789217522e-01,2.793637914302038006e+00
3.678573286380966145e-01,6.129414041055254447e-01,6.597779310421763022e-01,2.825270163328197803e+00
3.829417924057674227e-01,6.054663696986787302e-01,6.503517235277967989e-01,2.856902412354357157e+00
3.984262208099123015e-01,5.979611828099212767e-01,6.409550155250923753e-01,2.888534661380516955e+00
4.143137172068005469e-01,5.904274515719286631e-01,6.315883584748079871e-01,2.920166910406676308e+00
4.306071854300346224e-01,5.828667943073282398e-01,6.222523130757632304e-01,2.951799159432835662e+00
4.473093234321319223e-01,5.752808393598458636e-01,6.129474494954874064e-01,2.983431408458995460e+00
4.644226169094058942e-01,5.676712249279249889e-01,6.036743475848935780e-01,3.015063657485154813e+00
4.819493329103883283e-01,5.600395989009523401e-01,5.944335970970242577e-01,3.046695906511314611e+00
4.998915134279870998e-01,5.523876186982251690e-01,5.852257979099052543e-01,3.078328155537473965e+00
5.182509689754684068e-01,5.447169511107945450e-01,5.760515602535316582e-01,3.109960404563633318e+00
5.370292721463154617e-01,5.370292721463150176e-01,5.669115049410093921e-01,3.141592653589793116e+00
5.370292721463150176e-01,5.370292721463151286e-01,5.669115049410093921e-01,3.141592653589793116e+00
5.455554623470028064e-01,5.335349379292999572e-01,5.770517556668062209e-01,3.141592653589793116e+00
5.540255564599179117e-01,5.299857436205553940e-01,5.871920063926030497e-01,3.141592653589793116e+00
5.624386835577659394e-01,5.263820541617403315e-01,5.973322571183998786e-01,3.141592653589793116e+00
5.707939785708177061e-01,5.227242400979124071e-01,6.074725078441967074e-01,3.141592653589793116e+00
5.790905823758587534e-01,5.190126775394269254e-01,6.176127585699935363e-01,3.141592653589793116e+00
5.873276418845281288e-01,5.152477481232635714e-01,6.277530092957904762e-01,3.141592653589793116e+00
5.955043101310355524e-01,5.114298389737860218e-01,6.378932600215873050e-01,3.141592653589793116e+00
6.036197463592503087e-01,5.075593426629350091e-01,6.480335107473841338e-01,3.141592653589793116e+00
6.116731161091507607e-01,5.036366571698634997e-01,6.581737614731809627e-01,3.141592653589793116e+00
6.196635913026264930e-01,4.996621858400145388e-01,6.683140121989777915e-01,3.141592653589793116e+00
6.275903503286247576e-01,4.956363373436481479e-01,6.784542629247746204e-01,3.141592653589793116e+00
6.354525781276312291e-01,4.915595256338198271e-01,6.885945136505714492e-01,3.141592653589793116e+00
6.432494662754781878e-01,4.874321699038166589e-01,6.987347643763682781e-01,3.141592653589793116e+00
6.509802130664690267e-01,4.832546945440538977e-01,7.088750151021651069e-01,3.141592653589793116e+00
6.586440235958133105e-01,4.790275290984379875e-01,7.190152658279620468e-01,3.141592653589793116e+00
6.662401098413613942e-01,4.747511082201990584e-01,7.291555165537588756e-01,3.141592653589793116e+00
6.737676907446322749e-01,4.704258716271979002e-01,7.392957672795557045e-01,3.141592653589793116e+00
6.812259922911247934e-01,4.660522640567131281e-01,7.494360180053525333e-01,3.141592653589793116e+00
6.886142475899046378e-01,4.616307352197109859e-01,7.595762687311493622e-01,3.141592653589793116e+00
6.959316969524592666e-01,4.571617397546046679e-01,7.697165194569461910e-01,3.141592653589793116e+00
7.031775879708118682e-01,4.526457371805066576e-01,7.798567701827430199e-01,3.141592653589793116e+00
7.103511755948864748e-01,4.480831918499792454e-01,7.899970209085398487e-01,3.141592653589793116e+00
7.174517222091174595e-01,4.434745729012878335e-01,8.001372716343366776e-01,3.141592653589793116e+00
7.244784977082935340e-01,4.388203542101626886e-01,8.102775223601335064e-01,3.141592653589793116e+00
7.314307795726301409e-01,4.341210143410728084e-01,8.204177730859303352e-01,3.141592653589793116e+00
7.383078529420613600e-01,4.293770364980184495e-01,8.305580238117271641e-01,3.141592653589793116e+00
7.451090106897451104e-01,4.245889084748462050e-01,8.406982745375239929e-01,3.141592653589793116e+00
7.518335534947720999e-01,4.197571226050920146e-01,8.508385252633208218e-01,3.141592653589793116e+00
7.584807899140728615e-01,4.148821757113578257e-01,8.609787759891176506e-01,3.141592653589793116e+00
7.650500364535146591e-01,4.099645690542259024e-01,8.711190267149145905e-01,3.141592653589793116e+00
7.715406176381808256e-01,4.050048082807181093e-01,8.812592774407114193e-01,3.141592653589793116e+00
7.779518660818256492e-01,4.000034033723025573e-01,8.913995281665082482e-01,3.141592653589793116e+00
7.842831225554977026e-01,3.949608685924557716e-01,9.015397788923050770e-01,3.141592653589793116e+00
7.905337360553239545e-01,3.898777224337842684e-01,9.116800296181019059e-01,3.141592653589793116e+00
7.967030638694490019e-01,3.847544875647108120e-01,9.218202803438988457e-01,3.141592653589793116e+00
8.027904716441205402e-01,3.795916907757319048e-01,9.319605310696956746e-01,3.141592653589793116e+00
8.087953334489165202e-01,3.743898629252512822e-01,9.421007817954925034e-01,3.141592653589793116e+00
8.147170318411053325e-01,3.691495388849946879e-01,9.522410325212893323e-01,3.141592653589793116e+00
8.205549579291340212e-01,3.638712574850125892e-01,9.623812832470861611e-01,3.141592653589793116e+00
8.263085114352364258e-01,3.585555614582756623e-01,9.725215339728829900e-01,3.141592653589793116e+00
8.319771007571561405e-01,3.532029973848686555e-01,9.826617846986798188e-01,3.141592653589793116e+00
8.375601430289774108e-01,3.478141156357891783e-01,9.928020354244766477e-01,3.141592653589793116e+00
8.430570641810576360e-01,3.423894703163564146e-01,1.002942286150273477e+00,3.141592653589793116e+00
8.484672989990552638e-01,3.369296192092360309e-01,1.013082536876070305e+00,3.141592653589793116e+00
8.537902911820473006e-01,3.314351237170863329e-01,1.023222787601867134e+00,3.141592653589793116e+00
8.590254933997304443e-01,3.259065488048333292e-01,1.033363038327663963e+00,3.141592653589793116e+00
8.641723673486995105e-01,3.203444629415787004e-01,1.043503289053460792e+00,3.141592653589793116e+00
8.692303838077977129e-01,3.147494380421473337e-01,1.053643539779257621e+00,3.141592653589793116e+00
8.741990226925336893e-01,3.091220494082813630e-01,1.063783790505054450e+00,3.141592653589793116e+00
8.790777731085580582e-01,3.034628756694848217e-01,1.073924041230851500e+00,3.141592653589793116e+00
8.838661334041955087e-01,2.977724987235276788e-01,1.084064291956648329e+00,3.141592653589793116e+00
8.885636112220269833e-01,2.920515036766119787e-01,1.094204542682445158e+00,3.141592653589793116e+00
8.931697235495154041e-01,2.863004787832093556e-01,1.104344793408241987e+00,3.141592653589793116e+00
8.976839967686710553e-01,2.805200153855746392e-01,1.114485044134038816e+00,3.141592653589793116e+00
9.021059667047505171e-01,2.747107078529414936e-01,1.124625294859835645e+00,3.141592653589793116e+00
9.064351786739850425e-01,2.688731535204074707e-01,1.134765545585632474e+00,3.141592653589793116e+00
9.106711875303328263e-01,2.630079526275132529e-01,1.144905796311429302e+00,3.141592653589793116e+00
9.148135577112508354e-01,2.571157082565242447e-01,1.155046047037226131e+00,3.141592653589793116e+00
9.188618632824807619e-01,2.511970262704190660e-01,1.165186297763022960e+00,3.141592653589793116e+00
9.228156879818449898e-01,2.452525152505924122e-01,1.175326548488819789e+00,3.141592653589793116e+00
9.266746252620489122e-01,2.392827864342785549e-01,1.185466799214616618e+00,3.141592653589793116e+00
9.304382783324829376e-01,2.332884536517015051e-01,1.195607049940413447e+00,3.141592653589793116e+00
9.341062602000227422e-01,2.272701332629586679e-01,1.205747300666210275e+00,3.141592653589793116e+00
9.376781937088205510e-01,2.212284440946443442e-01,1.215887551392007104e+00,3.141592653589793116e+00
9.411537115790865604e-01,2.151640073762196570e-01,1.226027802117803933e+00,3.141592653589793116e+00
9.445324564448532856e-01,2.090774466761353145e-01,1.236168052843600762e+00,3.141592653589793116e+00
9.478140808907221659e-01,2.029693878377140381e-01,1.246308303569397591e+00,3.141592653589793116e+00
9.509982474875851022e-01,1.968404589147988715e-01,1.256448554295194420e+00,3.141592653589793116e+00
9.540846288273210352e-01,1.906912901071742827e-01,1.266588805020991249e+00,3.141592653589793116e+00
9.570729075564609056e-01,1.845225136957667766e-01,1.276729055746788077e+00,3.141592653589793116e+00
9.599627764088193294e-01,1.783347639776311500e-01,1.286869306472584906e+00,3.141592653589793116e+00
9.627539382370884358e-01,1.721286772007298849e-01,1.297009557198381735e+00,3.141592653589793116e+00
9.654461060433926489e-01,1.659048914985114254e-01,1.307149807924178564e+00,3.141592653589793116e+00
9.680390030087975273e-01,1.596640468242952471e-01,1.317290058649975393e+00,3.141592653589793116e+00
9.705323625217747718e-01,1.534067848854690774e-01,1.327430309375772222e+00,3.141592653589793116e+00
9.729259282056150759e-01,1.471337490775062318e-01,1.337570560101569050e+00,3.141592653589793116e+00
9.752194539447903709e-01,1.408455844178093386e-01,1.347710810827365879e+00,3.141592653589793116e+00
9.774127039102603609e-01,1.345429374793870037e-01,1.357851061553162708e+00,3.141592653589793116e+00
9.795054525837211257e-01,1.282264563243709077e-01,1.367991312278959537e+00,3.141592653589793116e+00
9.814974847807936831e-01,1.218967904373793043e-01,1.378131563004756588e+00,3.141592653589793116e+00
9.833885956731506228e-01,1.155545906587351762e-01,1.388271813730553417e+00,3.141592653589793116e+00
9.851785908095765931e-01,1.092005091175435177e-01,1.398412064456350246e+00,3.141592653589793116e+00
9.868672861359631954e-01,1.028351991646374725e-01,1.408552315182147074e+00,3.141592653589793116e+00
9.884545080142335127e-01,9.645931530539816889e-02,1.418692565907943903e+00,3.141592653589793116e+00
9.899400932401968278e-01,9.007351313245601232e-02,1.428832816633740732e+00,3.141592653589793116e+00
9.913238890603294218e-01,8.367844925828017699e-02,1.438973067359537561e+00,3.141592653589793116e+00
9.926057531874814543e-01,7.727478124766315459e-02,1.449113318085334390e+00,3.141592653589793116e+00
9.937855538155075941e-01,7.086316755010749202e-02,1.459253568811131219e+00,3.141592653589793116e+00
9.948631696328196217e-01,6.444426743212149089e-02,1.469393819536928047e+00,3.141592653589793116e+00
9.958384898348603409e-01,5.801874090943087703e-02,1.479534070262724876e+00,3.141592653589793116e+00
9.967114141354966872e-01,5.158724867911343437e-02,1.489674320988521927e+00,3.141592653589793116e+00
9.974818527773317012e-01,4.515045205166406950e-02,1.499814571714318756e+00,3.141592653589793116e+00
9.981497265409337016e-01,3.870901288299559428e-02,1.509954822440115585e+00,3.141592653589793116e+00
9.987149667529819919e-01,3.226359350638467044e-02,1.520095073165912414e+00,3.141592653589793116e+00
9.991775152933277671e-01,2.581485666436811321e-02,1.530235323891709243e+00,3.141592653589793116e+00
9.995373246009710000e-01,1.936346544059712807e-02,1.540375574617506071e+00,3.141592653589793116e+00
9.997943576789498632e-01,1.291008319165655970e-02,1.550515825343302900e+00,3.141592653589793116e+00
9.999485880981456853e-01,6.455373478856027240e-03,1.560656076069099729e+00,3.141592653589793116e+00
1.000000000000000000e+00,3.898171832519375494e-17,1.570796326794896558e+00,3.141592653589793116e+00
