wt, i_1, i_1_fundamental, i_1_harmonic
0.000000000000000000e+00,0.000000000000000000e+00,-1.476065113036885701e-01,1.476065113036885701e-01
1.750190893364787087e-02,0.000000000000000000e+00,-1.437522282007338836e-01,1.437522282007338836e-01
3.500381786729574174e-02,0.000000000000000000e+00,-1.398539124969086500e-01,1.398539124969086500e-01
5.250572680094361261e-02,0.000000000000000000e+00,-1.359127582813870194e-01,1.359127582813870194e-01
7.000763573459148348e-02,0.000000000000000000e+00,-1.319299727651646603e-01,1.319299727651646603e-01
8.750954466823934741e-02,0.000000000000000000e+00,-1.279067759112793579e-01,1.279067759112793579e-01
1.050114536018872252e-01,0.000000000000000000e+00,-1.238444000611250151e-01,1.238444000611250151e-01
1.225133625355351030e-01,0.000000000000000000e+00,-1.197440895569746727e-01,1.197440895569746727e-01
1.400152714691829670e-01,0.000000000000000000e+00,-1.156071003608273029e-01,1.156071003608273029e-01
1.575171804028308309e-01,0.000000000000000000e+00,-1.114346996696950753e-01,1.114346996696950753e-01
1.750190893364786948e-01,0.000000000000000000e+00,-1.072281655274497925e-01,1.072281655274497925e-01
1.925209982701265865e-01,0.000000000000000000e+00,-1.029887864333463576e-01,1.029887864333463576e-01
2.100229072037744504e-01,0.000000000000000000e+00,-9.871786094734408268e-02,9.871786094734408268e-02
2.275248161374223144e-01,0.000000000000000000e+00,-9.441669729234572483e-02,9.441669729234572483e-02
2.450267250710702061e-01,0.000000000000000000e+00,-9.008661295347747400e-02,9.008661295347747400e-02
2.625286340047180422e-01,0.000000000000000000e+00,-8.572893427453112669e-02,8.572893427453112669e-02
2.800305429383659339e-01,0.000000000000000000e+00,-8.134499605169304148e-02,8.134499605169304148e-02
2.975324518720138256e-01,0.000000000000000000e+00,-7.693614112468424859e-02,7.693614112468424859e-02
3.150343608056616618e-01,0.000000000000000000e+00,-7.250371996543637787e-02,7.250371996543637787e-02
3.325362697393095535e-01,0.000000000000000000e+00,-6.804909026443005382e-02,6.804909026443005382e-02
3.500381786729573896e-01,0.000000000000000000e+00,-6.357361651482203169e-02,6.357361651482203169e-02
3.675400876066052813e-01,0.000000000000000000e+00,-5.907866959448870858e-02,5.907866959448870858e-02
3.850419965402531730e-01,0.000000000000000000e+00,-5.456562634611389351e-02,5.456562634611389351e-02
4.025439054739010092e-01,0.000000000000000000e+00,-5.003586915544949720e-02,5.003586915544949720e-02
4.200458144075489009e-01,0.000000000000000000e+00,-4.549078552787824692e-02,4.549078552787824692e-02
4.375477233411967926e-01,0.000000000000000000e+00,-4.093176766340850259e-02,4.093176766340850259e-02
4.550496322748446287e-01,0.000000000000000000e+00,-3.636021203023072357e-02,3.636021203023072357e-02
4.725515412084925204e-01,0.000000000000000000e+00,-3.177751893696668939e-02,3.177751893696668939e-02
4.900534501421404121e-01,0.000000000000000000e+00,-2.718509210374242535e-02,2.718509210374242535e-02
5.075553590757883038e-01,0.000000000000000000e+00,-2.258433823221608905e-02,2.258433823221608905e-02
5.250572680094360845e-01,0.000000000000000000e+00,-1.797666657469271234e-02,1.797666657469271234e-02
5.425591769430839761e-01,0.000000000000000000e+00,-1.336348850245711040e-02,1.336348850245711040e-02
5.600610858767318678e-01,0.000000000000000000e+00,-8.746217073458753544e-03,8.746217073458753544e-03
5.775629948103797595e-01,0.000000000000000000e+00,-4.126266599479039288e-03,4.126266599479039288e-03
5.950649037440276512e-01,0.000000000000000000e+00,4.949477870851148875e-04,-4.949477870851148875e-04
6.125668126776754319e-01,0.000000000000000000e+00,5.116010566688838912e-03,-5.116010566688838912e-03
6.300687216113233236e-01,0.000000000000000000e+00,9.735506266226101602e-03,-9.735506266226101602e-03
6.475706305449712152e-01,0.000000000000000000e+00,1.435201989260138922e-02,-1.435201989260138922e-02
6.650725394786191069e-01,0.000000000000000000e+00,1.896413736615502887e-02,-1.896413736615502887e-02
6.825744484122669986e-01,0.000000000000000000e+00,2.357044595380862473e-02,-2.357044595380862473e-02
7.000763573459147793e-01,0.000000000000000000e+00,2.816953470179771324e-02,-2.816953470179771324e-02
7.175782662795626710e-01,0.000000000000000000e+00,3.275999486785970138e-02,-3.275999486785970138e-02
7.350801752132105626e-01,0.000000000000000000e+00,3.734042035274424964e-02,-3.734042035274424964e-02
7.525820841468584543e-01,0.000000000000000000e+00,4.190940813091423300e-02,-4.190940813091423300e-02
7.700839930805063460e-01,0.000000000000000000e+00,4.646555868030491365e-02,-4.646555868030491365e-02
7.875859020141542377e-01,0.000000000000000000e+00,5.100747641101022190e-02,-5.100747641101022190e-02
8.050878109478020184e-01,0.000000000000000000e+00,5.553377009276451448e-02,-5.553377009276451448e-02
8.225897198814499101e-01,0.000000000000000000e+00,6.004305328108902606e-02,-6.004305328108902606e-02
8.400916288150978017e-01,0.000000000000000000e+00,6.453394474197203523e-02,-6.453394474197203523e-02
8.575935377487456934e-01,1.801381294410627358e-05,6.900506887495345965e-02,-6.898705506200934756e-02
8.750954466823935851e-01,2.809687252021055449e-04,7.345505613448369275e-02,-7.317408740928159350e-02
8.925973556160413658e-01,8.523034152239788996e-04,7.788254344942742435e-02,-7.703024003420344545e-02
9.100992645496892575e-01,1.725506963667563197e-03,8.228617464058501918e-02,-8.056066767691745512e-02
9.276011734833371492e-01,2.893975986043659070e-03,8.666460083610212639e-02,-8.377062485005846992e-02
9.451030824169850408e-01,4.351016655391872802e-03,9.101648088464131536e-02,-8.666546422924943649e-02
9.626049913506329325e-01,6.089846752659799391e-03,9.534048176618881154e-02,-8.925063501352900608e-02
9.801069002842808242e-01,8.103597744158072547e-03,9.963527900037054408e-02,-9.153168125621247153e-02
9.976088092179286049e-01,1.038531688545393968e-02,1.038995570521523831e-01,-9.351424016669844519e-02
1.015110718151576608e+00,1.292796935105926769e-02,1.081320097348003745e-01,-9.520404038374111200e-02
1.032612627085224277e+00,1.572444038926101850e-02,1.123313406099773898e-01,-9.660690022071637129e-02
1.050114536018872169e+00,1.876753750143373561e-02,1.164962633848540957e-01,-9.772872588342035316e-02
1.067616444952520061e+00,2.204999264516668486e-02,1.206255023061116871e-01,-9.857550966094499878e-02
1.085118353886167952e+00,2.556446446053023749e-02,1.247177925507168689e-01,-9.915332809018663485e-02
1.102620262819815844e+00,2.930354051880099467e-02,1.287718806133483773e-01,-9.946834009454738612e-02
1.120122171753463736e+00,3.325973959295490390e-02,1.327865246903571217e-01,-9.952678509740221779e-02
1.137624080687111627e+00,3.742551394923489261e-02,1.367604950601415403e-01,-9.933498111090664773e-02
1.155125989620759519e+00,4.179325165908912010e-02,1.406925744598226669e-01,-9.889932280073354676e-02
1.172627898554407411e+00,4.635527893077366623e-02,1.445815584581024993e-01,-9.822627952732883305e-02
1.190129807488055302e+00,5.110386245990344162e-02,1.484262558241923047e-01,-9.732239336428885612e-02
1.207631716421703194e+00,5.603121179823364328e-02,1.522254888926971583e-01,-9.619427709446351504e-02
1.225133625355350864e+00,6.112948173994330048e-02,1.559780939243455289e-01,-9.484861218440222841e-02
1.242635534288998755e+00,6.639077472469326335e-02,1.596829214624532756e-01,-9.329214673776001221e-02
1.260137443222646647e+00,7.180714325671899712e-02,1.633388366850122564e-01,-9.153169342829325927e-02
1.277639352156294539e+00,7.737059233922093104e-02,1.669447197522966053e-01,-8.957412741307567428e-02
1.295141261089942430e+00,8.307308192330353780e-02,1.704994661498798747e-01,-8.742638422657633690e-02
1.312643170023590322e+00,8.890652937071458206e-02,1.740019870269575719e-01,-8.509545765624298985e-02
1.330145078957238214e+00,9.486281192963000319e-02,1.774512095298720615e-01,-8.258839760024205834e-02
1.347646987890886106e+00,1.009337692227261774e-01,1.808460771307371928e-01,-7.991230790801101547e-02
1.365148896824533997e+00,1.071112057467764056e-01,1.841855499510624550e-01,-7.707434420428604938e-02
1.382650805758181889e+00,1.133868933830075032e-01,1.874686050802768789e-01,-7.408171169726937566e-02
1.400152714691829559e+00,1.197525739174468140e-01,1.906942368890560124e-01,-7.094166297160919843e-02
1.417654623625477450e+00,1.261999615704870736e-01,1.938614573373551031e-01,-6.766149576686802947e-02
1.435156532559125342e+00,1.327207455348956011e-01,1.969692962770545619e-01,-6.424855074215896078e-02
1.452658441492773234e+00,1.393065925214891643e-01,2.000168017491252281e-01,-6.071020922763606387e-02
1.470160350426421125e+00,1.459491493116952809e-01,2.030030402752218133e-01,-5.705389096352653233e-02
1.487662259360069017e+00,1.526400453162187199e-01,2.059270971436159559e-01,-5.328705182739723600e-02
1.505164168293716909e+00,1.593708951390276074e-01,2.087880766893804030e-01,-4.941718155035279558e-02
1.522666077227364800e+00,1.661333011458762943e-01,2.115851025687393860e-01,-4.545180142286309177e-02
1.540167986161012692e+00,1.729188560365760852e-01,2.143173180275005640e-01,-4.139846199092447887e-02
1.557669895094660584e+00,1.797191454202267391e-01,2.169838861634865168e-01,-3.726474074325977770e-02
1.575171804028308475e+00,1.865257503926201488e-01,2.195839901828854912e-01,-3.305823979026534243e-02
1.592673712961956145e+00,1.933302501150266917e-01,2.221168336504425189e-01,-2.878658353541582726e-02
1.610175621895604037e+00,2.001242243935741350e-01,2.245816407334149667e-01,-2.445741633984083174e-02
1.627677530829251928e+00,2.068992562584277550e-01,2.269776564392168572e-01,-2.007840018078910216e-02
1.645179439762899820e+00,2.136469345419849120e-01,2.293041468466799904e-01,-1.565721230469507841e-02
1.662681348696547712e+00,2.203588564552908524e-01,2.315603993308605613e-01,-1.120154287556970885e-02
1.680183257630195603e+00,2.270266301618890648e-01,2.337457227813226068e-01,-6.719092619433542080e-03
1.697685166563843495e+00,2.336418773483155686e-01,2.358594478138314465e-01,-2.217570465515877887e-03
1.715187075497491387e+00,2.401962357904524059e-01,2.379009269753918632e-01,2.295308815060542740e-03
1.732688984431139279e+00,2.466813619149514358e-01,2.398695349425690460e-01,6.811826972382389878e-03
1.750190893364787170e+00,2.530889333549470877e-01,2.417646687130306504e-01,1.132426464191643722e-02
1.767692802298435062e+00,2.594106514992703394e-01,2.435857477902517165e-01,1.582490370901862287e-02
1.785194711232082732e+00,2.656382440343899032e-01,2.453322143613263229e-01,2.030602967306358031e-02
1.802696620165730623e+00,2.717634674782954951e-01,2.470035334678303551e-01,2.475993401046513998e-02
1.820198529099378515e+00,2.777781097055499471e-01,2.485991931696842072e-01,2.917891653586573986e-02
1.837700438033026407e+00,2.836739924627378895e-01,2.501187047019646781e-01,3.355528776077321140e-02
1.855202346966674298e+00,2.894429738735385116e-01,2.515616026246180192e-01,3.788137124892049235e-02
1.872704255900322190e+00,2.950769509326543472e-01,2.529274449650285028e-01,4.214950596762584434e-02
1.890206164833970082e+00,3.005678619878367486e-01,2.542158133533983233e-01,4.635204863443842527e-02
1.907708073767617973e+00,3.059076892092397193e-01,2.554263131508984763e-01,5.048137605834124297e-02
1.925209982701265865e+00,3.110884610453566457e-01,2.565585735705498416e-01,5.452988747480680409e-02
1.942711891634913757e+00,3.161022546647747622e-01,2.576122477907986097e-01,5.849000687397615250e-02
1.960213800568561648e+00,3.209411983830126047e-01,2.585870130617510254e-01,6.235418532126157931e-02
1.977715709502209318e+00,3.255974740736862771e-01,2.594825708040342516e-01,6.611490326965202557e-02
1.995217618435857210e+00,3.300633195632714512e-01,2.602986467002544879e-01,6.976467286301696324e-02
2.012719527369505101e+00,3.343310310087297954e-01,2.610349907790221469e-01,7.329604022970764854e-02
2.030221436303153215e+00,3.383929652572609248e-01,2.616913774915209379e-01,7.670158776573998693e-02
2.047723345236800885e+00,3.422415421874728803e-01,2.622676057805950478e-01,7.997393640687783245e-02
2.065225254170448554e+00,3.458692470312393907e-01,2.627634991423352107e-01,8.310574788890418008e-02
2.082727163104096668e+00,3.492686326755415904e-01,2.631789056801429605e-01,8.608972699539862994e-02
2.100229072037744338e+00,3.524323219435849808e-01,2.635136981512582466e-01,8.891862379232673419e-02
2.117730980971392452e+00,3.553530098544973037e-01,2.637677740057350340e-01,9.158523584876226975e-02
2.135232889905040121e+00,3.580234658609069420e-01,2.639410554178530655e-01,9.408241044305387657e-02
2.152734798838688235e+00,3.604365360637270532e-01,2.640334893099567370e-01,9.640304675377031618e-02
2.170236707772335905e+00,3.625851454034562105e-01,2.640450473687132593e-01,9.854009803474295115e-02
2.187738616705984018e+00,3.644622998273375214e-01,2.639757260537852757e-01,1.004865737735522457e-01
2.205240525639631688e+00,3.660610884316952141e-01,2.638255465989152726e-01,1.022355418327799415e-01
2.222742434573279802e+00,3.673746855788094234e-01,2.635945550054213937e-01,1.037801305733880297e-01
2.240244343506927471e+00,3.683963529876692067e-01,2.632828220281070997e-01,1.051135309595621070e-01
2.257746252440575141e+00,3.691194417979686837e-01,2.628904431535880049e-01,1.062289986443806789e-01
2.275248161374223255e+00,3.695373946067139204e-01,2.624175385710436625e-01,1.071198560356702578e-01
2.292750070307870924e+00,3.696437474768135556e-01,2.618642531354026803e-01,1.077794943414108753e-01
2.310251979241519038e+00,3.694321319170403850e-01,2.612307563229719909e-01,1.082013755940683941e-01
2.327753888175166708e+00,3.688962768327581632e-01,2.605172421795248772e-01,1.083790346532332860e-01
2.345255797108814821e+00,3.680300104468143263e-01,2.597239292608631289e-01,1.083060811859511974e-01
2.362757706042462491e+00,3.668272621900116048e-01,2.588510605658714825e-01,1.079762016241401223e-01
2.380259614976110605e+00,3.652820645605761030e-01,2.578989034620845500e-01,1.073831610984915530e-01
2.397761523909758274e+00,3.633885549520585734e-01,2.568677496037899965e-01,1.065208053482685768e-01
2.415263432843406388e+00,3.611409774491017854e-01,2.557579148426921134e-01,1.053830626064096720e-01
2.432765341777054058e+00,3.585336845905322534e-01,2.545697391311637636e-01,1.039639454593684897e-01
2.450267250710701727e+00,3.555611390992235443e-01,2.533035864181156227e-01,1.022575526811079216e-01
2.467769159644349841e+00,3.522179155782195759e-01,2.519598445375155760e-01,1.002580710407039999e-01
2.485271068577997511e+00,3.484987021725780010e-01,2.505389250895916353e-01,9.795977708298636566e-02
2.502772977511645625e+00,3.443983021964417413e-01,2.490412633147549570e-01,9.535703888168678422e-02
2.520274886445293294e+00,3.399116357248305742e-01,2.474673179602821238e-01,9.244431776454845040e-02
2.537776795378941408e+00,3.350337411496652762e-01,2.458175711397962704e-01,8.921617000986900581e-02
2.555278704312589078e+00,3.297597766995564172e-01,2.440925281855917950e-01,8.566724851396462226e-02
2.572780613246237191e+00,3.240850219228796347e-01,2.422927174938459549e-01,8.179230442903367981e-02
2.590282522179884861e+00,3.180048791336956282e-01,2.404186903627672511e-01,7.758618877092837707e-02
2.607784431113532975e+00,3.115148748200580187e-01,2.384710208237267592e-01,7.304385399633125941e-02
2.625286340047180644e+00,3.046106610142944593e-01,2.364503054654280290e-01,6.816035554886643033e-02
2.642788248980828314e+00,2.972880166248268452e-01,2.343571632511661784e-01,6.293085337366066678e-02
2.660290157914476428e+00,2.895428487291289432e-01,2.321922353292338592e-01,5.735061339989508400e-02
2.677792066848124097e+00,2.813711938274262581e-01,2.299561848365320182e-01,5.141500899089423982e-02
2.695293975781772211e+00,2.727692190567523323e-01,2.276496966954446866e-01,4.511952236130764571e-02
2.712795884715419881e+00,2.637332233649866686e-01,2.252734774040416887e-01,3.845974596094497988e-02
2.730297793649067994e+00,2.542596386445230561e-01,2.228282548196712509e-01,3.143138382485180515e-02
2.747799702582715664e+00,2.443450308252117786e-01,2.203147779360112857e-01,2.403025288920049296e-02
2.765301611516363778e+00,2.339861009262451663e-01,2.177338166536454955e-01,1.625228427259967079e-02
2.782803520450011447e+00,2.231796860666679372e-01,2.150861615442363484e-01,8.093524522431588819e-03
2.800305429383659117e+00,2.119227604341932247e-01,2.123726236083653407e-01,-4.498631741721159649e-04
2.817807338317307231e+00,2.002124362120366596e-01,2.095940340271165159e-01,-9.381597815079856240e-03
2.835309247250954900e+00,1.880459644634834837e-01,2.067512439074783437e-01,-1.870527944399485998e-02
2.852811156184603014e+00,1.754207359739084204e-01,2.038451240216415938e-01,-2.842438804773317340e-02
2.870313065118250684e+00,1.623342820500037753e-01,2.008765645402744715e-01,-3.854228249027069619e-02
2.887814974051898798e+00,1.487842752759627185e-01,1.978464747598548956e-01,-4.906219948389217711e-02
2.905316882985546467e+00,1.347685302263868790e-01,1.947557828241450739e-01,-5.998725259775819496e-02
2.922818791919194581e+00,1.202850041357010902e-01,1.916054354398925019e-01,-7.132043130419141175e-02
2.940320700852842251e+00,1.053317975238740462e-01,1.883963975868454821e-01,-8.306460006297143595e-02
2.957822609786490364e+00,8.990715477824164081e-02,1.851296522221708429e-01,-9.522249744392920212e-02
2.975324518720138034e+00,7.400946469127035743e-02,1.818061999793655070e-01,-1.077967352880951496e-01
2.992826427653785704e+00,5.763726095408330807e-02,1.784270588617533071e-01,-1.207897979076699990e-01
3.010328336587433817e+00,4.078922260560280399e-02,1.749932639306613358e-01,-1.342040413250585318e-01
3.027830245521081487e+00,2.346417443717629253e-02,1.715058669883719189e-01,-1.480416925511956194e-01
3.045332154454729601e+00,5.661087352548414484e-03,1.679659362559451918e-01,-1.623048489033967756e-01
3.062834063388377270e+00,0.000000000000000000e+00,1.643745560460142807e-01,-1.643745560460142807e-01
3.080335972322025384e+00,0.000000000000000000e+00,1.607328264306497612e-01,-1.607328264306497612e-01
3.097837881255673054e+00,0.000000000000000000e+00,1.570418629043985326e-01,-1.570418629043985326e-01
3.115339790189321167e+00,0.000000000000000000e+00,1.533027960425969727e-01,-1.533027960425969727e-01
3.132841699122968837e+00,0.000000000000000000e+00,1.495167711550662581e-01,-1.495167711550662581e-01
3.150343608056616951e+00,0.000000000000000000e+00,1.456849479352930743e-01,-1.456849479352930743e-01
